Job Zone,Code,Occupation,Data-level,url
4,13-2011.00,Accountants and Auditors,Y,https://www.onetonline.org/link/summary/13-2011.00
2,27-2011.00,Actors,Y,https://www.onetonline.org/link/summary/27-2011.00
4,15-2011.00,Actuaries,Y,https://www.onetonline.org/link/summary/15-2011.00
5,29-1291.00,Acupuncturists,Y,https://www.onetonline.org/link/summary/29-1291.00
4,29-1141.01,Acute Care Nurses,Y,https://www.onetonline.org/link/summary/29-1141.01
5,25-2059.01,Adapted Physical Education Specialists,Y,https://www.onetonline.org/link/summary/25-2059.01
2,51-9191.00,Adhesive Bonding Machine Operators and Tenders,Y,https://www.onetonline.org/link/summary/51-9191.00
5,23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers",Y,https://www.onetonline.org/link/summary/23-1021.00
3,11-3012.00,Administrative Services Managers,Y,https://www.onetonline.org/link/summary/11-3012.00
4,25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",Y,https://www.onetonline.org/link/summary/25-3011.00
5,29-1141.02,Advanced Practice Psychiatric Nurses,Y,https://www.onetonline.org/link/summary/29-1141.02
4,11-2011.00,Advertising and Promotions Managers,Y,https://www.onetonline.org/link/summary/11-2011.00
4,41-3011.00,Advertising Sales Agents,Y,https://www.onetonline.org/link/summary/41-3011.00
3,17-3021.00,Aerospace Engineering and Operations Technologists and Technicians,Y,https://www.onetonline.org/link/summary/17-3021.00
4,17-2011.00,Aerospace Engineers,Y,https://www.onetonline.org/link/summary/17-2011.00
4,13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes",Y,https://www.onetonline.org/link/summary/13-1011.00
4,17-2021.00,Agricultural Engineers,Y,https://www.onetonline.org/link/summary/17-2021.00
1,45-2091.00,Agricultural Equipment Operators,Y,https://www.onetonline.org/link/summary/45-2091.00
2,45-2011.00,Agricultural Inspectors,Y,https://www.onetonline.org/link/summary/45-2011.00
5,25-1041.00,"Agricultural Sciences Teachers, Postsecondary",Y,https://www.onetonline.org/link/summary/25-1041.00
3,19-4012.00,Agricultural Technicians,Y,https://www.onetonline.org/link/summary/19-4012.00
n/a,45-2099.00,"Agricultural Workers, All Other",,https://www.onetonline.org/link/summary/45-2099.00
n/a,55-3011.00,Air Crew Members,,https://www.onetonline.org/link/summary/55-3011.00
n/a,55-1011.00,Air Crew Officers,,https://www.onetonline.org/link/summary/55-1011.00
3,53-2021.00,Air Traffic Controllers,Y,https://www.onetonline.org/link/summary/53-2021.00
2,53-1041.00,Aircraft Cargo Handling Supervisors,Y,https://www.onetonline.org/link/summary/53-1041.00
n/a,55-1012.00,Aircraft Launch and Recovery Officers,,https://www.onetonline.org/link/summary/55-1012.00
n/a,55-3012.00,Aircraft Launch and Recovery Specialists,,https://www.onetonline.org/link/summary/55-3012.00
