month,topic,age_group,share_of_messages
2024-07-01,Multimedia,18-24,0.165
2024-07-01,Multimedia,25-34,0.384
2024-07-01,Multimedia,35-44,0.239
2024-07-01,Multimedia,45-54,0.154
2024-07-01,Multimedia,55-64,0.045
2024-07-01,Multimedia,65+,0.014
2024-07-01,Other/Unknown,18-24,0.297
2024-07-01,Other/Unknown,25-34,0.390
2024-07-01,Other/Unknown,35-44,0.192
2024-07-01,Other/Unknown,45-54,0.082
2024-07-01,Other/Unknown,55-64,0.024
2024-07-01,Other/Unknown,65+,0.015
2024-07-01,Practical Guidance,18-24,0.324
2024-07-01,Practical Guidance,25-34,0.403
2024-07-01,Practical Guidance,35-44,0.167
2024-07-01,Practical Guidance,45-54,0.071
2024-07-01,Practical Guidance,55-64,0.024
2024-07-01,Practical Guidance,65+,0.011
2024-07-01,Seeking information,18-24,0.311
2024-07-01,Seeking information,25-34,0.392
2024-07-01,Seeking information,35-44,0.180
2024-07-01,Seeking information,45-54,0.076
2024-07-01,Seeking information,55-64,0.027
2024-07-01,Seeking information,65+,0.014
2024-07-01,Self-expression,18-24,0.376
2024-07-01,Self-expression,25-34,0.376
2024-07-01,Self-expression,35-44,0.144
2024-07-01,Self-expression,45-54,0.067
2024-07-01,Self-expression,55-64,0.022
2024-07-01,Self-expression,65+,0.015
2024-07-01,Technical help,18-24,0.294
2024-07-01,Technical help,25-34,0.454
2024-07-01,Technical help,35-44,0.174
2024-07-01,Technical help,45-54,0.054
2024-07-01,Technical help,55-64,0.019
2024-07-01,Technical help,65+,0.005
2024-07-01,Writing,18-24,0.215
2024-07-01,Writing,25-34,0.439
2024-07-01,Writing,35-44,0.211
2024-07-01,Writing,45-54,0.092
2024-07-01,Writing,55-64,0.034
2024-07-01,Writing,65+,0.010
2024-08-01,Multimedia,18-24,0.224
2024-08-01,Multimedia,25-34,0.339
2024-08-01,Multimedia,35-44,0.255
2024-08-01,Multimedia,45-54,0.122
2024-08-01,Multimedia,55-64,0.040
2024-08-01,Multimedia,65+,0.020
2024-08-01,Other/Unknown,18-24,0.307
2024-08-01,Other/Unknown,25-34,0.380
2024-08-01,Other/Unknown,35-44,0.181
2024-08-01,Other/Unknown,45-54,0.079
2024-08-01,Other/Unknown,55-64,0.032
2024-08-01,Other/Unknown,65+,0.021
2024-08-01,Practical Guidance,18-24,0.325
2024-08-01,Practical Guidance,25-34,0.393
2024-08-01,Practical Guidance,35-44,0.170
2024-08-01,Practical Guidance,45-54,0.074
2024-08-01,Practical Guidance,55-64,0.026
2024-08-01,Practical Guidance,65+,0.012
2024-08-01,Seeking information,18-24,0.305
2024-08-01,Seeking information,25-34,0.376
