year,country,rank
2025,SG,1
2025,NL,2
2025,IL,3
2025,CH,4
2025,AE,5
2025,FI,6
2025,BE,7
2025,CA,8
2025,NO,9
2025,SE,10
2025,AZ,11
2025,AU,12
2025,DE,13
2025,DK,14
2025,AT,15
2025,CZ,16
2025,FR,17
2025,PT,18
2025,IE,19
2025,ES,20
2025,KR,21
2025,GR,22
2025,TW,23
2025,NZ,24
2025,PL,25
2025,RS,26
2025,US,27
2025,KZ,28
2025,GB,29
2025,BG,30
2025,MY,31
2025,SK,32
2025,HU,33
2025,SA,34
2025,LB,35
2025,RO,36
2025,CR,37
2025,CL,38
2025,IT,39
2025,PE,40
2025,AR,41
2025,UA,42
2025,EC,43
2025,JP,44
2025,JO,45
2025,TR,46
2025,BR,47
2025,OM,48
2025,TN,49
2025,DO,50
2025,CO,51
2025,PS,52
2025,KG,53
2025,VN,54
2025,PH,55
2025,DZ,56
2025,MA,57
2025,LY,58
2025,BO,59
2025,MX,60
2025,UZ,61
2025,TH,62
2025,SV,63
2025,PY,64
2025,IQ,65
2025,EG,66
2025,NI,67
2025,ID,68
2025,LK,69
2025,NP,70
2025,HN,71
2025,GT,72
2025,ZA,73
2025,KH,74
2025,KE,75
2025,IN,76
2025,PK,77
2025,BD,78
2025,GH,79
2025,SN,80
2025,SO,81
2025,TJ,82
2025,NG,83
2025,MR,84
2025,LA,85
2025,RW,86
2025,CI,87
2025,HT,88
2025,BJ,89
2025,YE,90
2025,CG,91
2025,AF,92
2025,MG,93
2025,CM,94
2025,ZM,95
2025,AO,96
2025,MM,97
2025,MZ,98
2025,TG,99
2025,ZW,100
2025,TZ,101
2025,PG,102
2025,SL,103
2025,BF,104
2025,UG,105
2025,LR,106
2025,GN,107
2025,MW,108
2025,ET,109
2025,SD,110
2025,ML,111
2025,CD,112
2025,BI,113
2025,SS,114
2025,NE,115
2025,TD,116
2025,CF,117
2025,TM,118
