month,topic,typical_name_gender,share_of_messages
2024-07-01,Multimedia,feminine,0.300
2024-07-01,Multimedia,masculine,0.700
2024-07-01,Other/Unknown,feminine,0.376
2024-07-01,Other/Unknown,masculine,0.624
2024-07-01,Practical Guidance,feminine,0.438
2024-07-01,Practical Guidance,masculine,0.562
2024-07-01,Seeking information,feminine,0.394
2024-07-01,Seeking information,masculine,0.606
2024-07-01,Self-expression,feminine,0.444
2024-07-01,Self-expression,masculine,0.556
2024-07-01,Technical help,feminine,0.266
2024-07-01,Technical help,masculine,0.734
2024-07-01,Writing,feminine,0.493
2024-07-01,Writing,masculine,0.507
2024-08-01,Multimedia,feminine,0.343
2024-08-01,Multimedia,masculine,0.657
2024-08-01,Other/Unknown,feminine,0.380
2024-08-01,Other/Unknown,masculine,0.620
2024-08-01,Practical Guidance,feminine,0.435
2024-08-01,Practical Guidance,masculine,0.565
2024-08-01,Seeking information,feminine,0.390
2024-08-01,Seeking information,masculine,0.610
2024-08-01,Self-expression,feminine,0.433
2024-08-01,Self-expression,masculine,0.567
2024-08-01,Technical help,feminine,0.250
2024-08-01,Technical help,masculine,0.750
2024-08-01,Writing,feminine,0.498
2024-08-01,Writing,masculine,0.502
2024-09-01,Multimedia,feminine,0.350
2024-09-01,Multimedia,masculine,0.650
2024-09-01,Other/Unknown,feminine,0.399
2024-09-01,Other/Unknown,masculine,0.601
2024-09-01,Practical Guidance,feminine,0.462
2024-09-01,Practical Guidance,masculine,0.538
2024-09-01,Seeking information,feminine,0.418
2024-09-01,Seeking information,masculine,0.582
2024-09-01,Self-expression,feminine,0.459
2024-09-01,Self-expression,masculine,0.541
2024-09-01,Technical help,feminine,0.281
2024-09-01,Technical help,masculine,0.719
2024-09-01,Writing,feminine,0.502
2024-09-01,Writing,masculine,0.498
2024-10-01,Multimedia,feminine,0.377
2024-10-01,Multimedia,masculine,0.623
2024-10-01,Other/Unknown,feminine,0.412
2024-10-01,Other/Unknown,masculine,0.588
2024-10-01,Practical Guidance,feminine,0.468
2024-10-01,Practical Guidance,masculine,0.532
2024-10-01,Seeking information,feminine,0.429
2024-10-01,Seeking information,masculine,0.571
2024-10-01,Self-expression,feminine,0.490
2024-10-01,Self-expression,masculine,0.510
2024-10-01,Technical help,feminine,0.296
2024-10-01,Technical help,masculine,0.704
2024-10-01,Writing,feminine,0.513
2024-10-01,Writing,masculine,0.487
2024-11-01,Multimedia,feminine,0.395
2024-11-01,Multimedia,masculine,0.605
2024-11-01,Other/Unknown,feminine,0.437
2024-11-01,Other/Unknown,masculine,0.563
2024-11-01,Practical Guidance,feminine,0.484
2024-11-01,Practical Guidance,masculine,0.516
2024-11-01,Seeking information,feminine,0.429
2024-11-01,Seeking information,masculine,0.571
2024-11-01,Self-expression,feminine,0.525
2024-11-01,Self-expression,masculine,0.475
2024-11-01,Technical help,feminine,0.312
2024-11-01,Technical help,masculine,0.688
2024-11-01,Writing,feminine,0.529
2024-11-01,Writing,masculine,0.471
2024-12-01,Multimedia,feminine,0.380
2024-12-01,Multimedia,masculine,0.620
2024-12-01,Other/Unknown,feminine,0.414
2024-12-01,Other/Unknown,masculine,0.586
2024-12-01,Practical Guidance,feminine,0.475
2024-12-01,Practical Guidance,masculine,0.525
2024-12-01,Seeking information,feminine,0.415
2024-12-01,Seeking information,masculine,0.585
2024-12-01,Self-expression,feminine,0.521
2024-12-01,Self-expression,masculine,0.479
2024-12-01,Technical help,feminine,0.297
2024-12-01,Technical help,masculine,0.703
2024-12-01,Writing,feminine,0.528
2024-12-01,Writing,masculine,0.472
2025-01-01,Multimedia,feminine,0.398
2025-01-01,Multimedia,masculine,0.602
2025-01-01,Other/Unknown,feminine,0.438
2025-01-01,Other/Unknown,masculine,0.562
2025-01-01,Practical Guidance,feminine,0.476
2025-01-01,Practical Guidance,masculine,0.524
2025-01-01,Seeking information,feminine,0.409
2025-01-01,Seeking information,masculine,0.591
2025-01-01,Self-expression,feminine,0.530
2025-01-01,Self-expression,masculine,0.470
2025-01-01,Technical help,feminine,0.294
2025-01-01,Technical help,masculine,0.706
2025-01-01,Writing,feminine,0.528
2025-01-01,Writing,masculine,0.472
2025-02-01,Multimedia,feminine,0.395
2025-02-01,Multimedia,masculine,0.605
2025-02-01,Other/Unknown,feminine,0.458
2025-02-01,Other/Unknown,masculine,0.542
2025-02-01,Practical Guidance,feminine,0.481
2025-02-01,Practical Guidance,masculine,0.519
2025-02-01,Seeking information,feminine,0.424
2025-02-01,Seeking information,masculine,0.576
2025-02-01,Self-expression,feminine,0.539
2025-02-01,Self-expression,masculine,0.461
2025-02-01,Technical help,feminine,0.306
2025-02-01,Technical help,masculine,0.694
2025-02-01,Writing,feminine,0.531
2025-02-01,Writing,masculine,0.469
2025-03-01,Multimedia,feminine,0.418
2025-03-01,Multimedia,masculine,0.582
2025-03-01,Other/Unknown,feminine,0.443
2025-03-01,Other/Unknown,masculine,0.557
2025-03-01,Practical Guidance,feminine,0.488
2025-03-01,Practical Guidance,masculine,0.512
2025-03-01,Seeking information,feminine,0.430
2025-03-01,Seeking information,masculine,0.570
2025-03-01,Self-expression,feminine,0.550
2025-03-01,Self-expression,masculine,0.450
2025-03-01,Technical help,feminine,0.315
2025-03-01,Technical help,masculine,0.685
2025-03-01,Writing,feminine,0.544
2025-03-01,Writing,masculine,0.456
2025-04-01,Multimedia,feminine,0.479
2025-04-01,Multimedia,masculine,0.521
2025-04-01,Other/Unknown,feminine,0.468
2025-04-01,Other/Unknown,masculine,0.532
2025-04-01,Practical Guidance,feminine,0.497
2025-04-01,Practical Guidance,masculine,0.503
2025-04-01,Seeking information,feminine,0.442
2025-04-01,Seeking information,masculine,0.558
2025-04-01,Self-expression,feminine,0.589
2025-04-01,Self-expression,masculine,0.411
2025-04-01,Technical help,feminine,0.319
2025-04-01,Technical help,masculine,0.681
2025-04-01,Writing,feminine,0.549
2025-04-01,Writing,masculine,0.451
2025-05-01,Multimedia,feminine,0.462
2025-05-01,Multimedia,masculine,0.538
2025-05-01,Other/Unknown,feminine,0.487
2025-05-01,Other/Unknown,masculine,0.513
2025-05-01,Practical Guidance,feminine,0.505
2025-05-01,Practical Guidance,masculine,0.495
2025-05-01,Seeking information,feminine,0.447
2025-05-01,Seeking information,masculine,0.553
2025-05-01,Self-expression,feminine,0.595
2025-05-01,Self-expression,masculine,0.405
2025-05-01,Technical help,feminine,0.317
2025-05-01,Technical help,masculine,0.683
2025-05-01,Writing,feminine,0.556
2025-05-01,Writing,masculine,0.444
2025-06-01,Multimedia,feminine,0.468
2025-06-01,Multimedia,masculine,0.532
2025-06-01,Other/Unknown,feminine,0.476
2025-06-01,Other/Unknown,masculine,0.524
2025-06-01,Practical Guidance,feminine,0.504
2025-06-01,Practical Guidance,masculine,0.496
2025-06-01,Seeking information,feminine,0.448
2025-06-01,Seeking information,masculine,0.552
2025-06-01,Self-expression,feminine,0.583
2025-06-01,Self-expression,masculine,0.417
2025-06-01,Technical help,feminine,0.321
2025-06-01,Technical help,masculine,0.679
2025-06-01,Writing,feminine,0.553
2025-06-01,Writing,masculine,0.447
2025-07-01,Multimedia,feminine,0.475
2025-07-01,Multimedia,masculine,0.525
2025-07-01,Other/Unknown,feminine,0.468
2025-07-01,Other/Unknown,masculine,0.532
2025-07-01,Practical Guidance,feminine,0.497
2025-07-01,Practical Guidance,masculine,0.503
