month,work_related,topic,share_of_messages
2024-07-01,0,Multimedia,0.024
2024-07-01,0,Other/Unknown,0.047
2024-07-01,0,Practical Guidance,0.304
2024-07-01,0,Seeking information,0.231
2024-07-01,0,Self-expression,0.074
2024-07-01,0,Technical help,0.057
2024-07-01,0,Writing,0.261
2024-07-01,1,Multimedia,0.016
2024-07-01,1,Other/Unknown,0.020
2024-07-01,1,Practical Guidance,0.222
2024-07-01,1,Seeking information,0.107
2024-07-01,1,Self-expression,0.007
2024-07-01,1,Technical help,0.210
2024-07-01,1,Writing,0.419
2024-08-01,0,Multimedia,0.030
2024-08-01,0,Other/Unknown,0.050
2024-08-01,0,Practical Guidance,0.295
2024-08-01,0,Seeking information,0.226
2024-08-01,0,Self-expression,0.079
2024-08-01,0,Technical help,0.056
2024-08-01,0,Writing,0.264
2024-08-01,1,Multimedia,0.022
2024-08-01,1,Other/Unknown,0.023
2024-08-01,1,Practical Guidance,0.221
2024-08-01,1,Seeking information,0.106
2024-08-01,1,Self-expression,0.007
2024-08-01,1,Technical help,0.195
2024-08-01,1,Writing,0.426
2024-09-01,0,Multimedia,0.038
2024-09-01,0,Other/Unknown,0.046
2024-09-01,0,Practical Guidance,0.309
2024-09-01,0,Seeking information,0.217
2024-09-01,0,Self-expression,0.076
2024-09-01,0,Technical help,0.066
2024-09-01,0,Writing,0.248
2024-09-01,1,Multimedia,0.029
2024-09-01,1,Other/Unknown,0.023
2024-09-01,1,Practical Guidance,0.230
2024-09-01,1,Seeking information,0.109
2024-09-01,1,Self-expression,0.008
2024-09-01,1,Technical help,0.182
2024-09-01,1,Writing,0.418
2024-10-01,0,Multimedia,0.046
2024-10-01,0,Other/Unknown,0.049
2024-10-01,0,Practical Guidance,0.308
2024-10-01,0,Seeking information,0.213
2024-10-01,0,Self-expression,0.078
2024-10-01,0,Technical help,0.065
2024-10-01,0,Writing,0.241
2024-10-01,1,Multimedia,0.040
2024-10-01,1,Other/Unknown,0.022
2024-10-01,1,Practical Guidance,0.245
2024-10-01,1,Seeking information,0.112
2024-10-01,1,Self-expression,0.007
2024-10-01,1,Technical help,0.185
2024-10-01,1,Writing,0.390
2024-11-01,0,Multimedia,0.044
2024-11-01,0,Other/Unknown,0.052
2024-11-01,0,Practical Guidance,0.305
2024-11-01,0,Seeking information,0.218
2024-11-01,0,Self-expression,0.084
2024-11-01,0,Technical help,0.060
2024-11-01,0,Writing,0.238
2024-11-01,1,Multimedia,0.036
2024-11-01,1,Other/Unknown,0.023
2024-11-01,1,Practical Guidance,0.243
2024-11-01,1,Seeking information,0.116
2024-11-01,1,Self-expression,0.008
2024-11-01,1,Technical help,0.174
2024-11-01,1,Writing,0.401
2024-12-01,0,Multimedia,0.039
2024-12-01,0,Other/Unknown,0.053
2024-12-01,0,Practical Guidance,0.300
2024-12-01,0,Seeking information,0.215
2024-12-01,0,Self-expression,0.103
2024-12-01,0,Technical help,0.052
2024-12-01,0,Writing,0.237
2024-12-01,1,Multimedia,0.034
2024-12-01,1,Other/Unknown,0.023
2024-12-01,1,Practical Guidance,0.240
2024-12-01,1,Seeking information,0.114
2024-12-01,1,Self-expression,0.008
2024-12-01,1,Technical help,0.178
2024-12-01,1,Writing,0.402
2025-01-01,0,Multimedia,0.042
2025-01-01,0,Other/Unknown,0.053
2025-01-01,0,Practical Guidance,0.301
2025-01-01,0,Seeking information,0.224
2025-01-01,0,Self-expression,0.096
2025-01-01,0,Technical help,0.047
2025-01-01,0,Writing,0.238
2025-01-01,1,Multimedia,0.035
2025-01-01,1,Other/Unknown,0.027
2025-01-01,1,Practical Guidance,0.235
2025-01-01,1,Seeking information,0.115
2025-01-01,1,Self-expression,0.010
2025-01-01,1,Technical help,0.160
2025-01-01,1,Writing,0.418
2025-02-01,0,Multimedia,0.040
2025-02-01,0,Other/Unknown,0.052
2025-02-01,0,Practical Guidance,0.307
2025-02-01,0,Seeking information,0.222
2025-02-01,0,Self-expression,0.107
2025-02-01,0,Technical help,0.048
2025-02-01,0,Writing,0.222
2025-02-01,1,Multimedia,0.039
2025-02-01,1,Other/Unknown,0.028
2025-02-01,1,Practical Guidance,0.250
2025-02-01,1,Seeking information,0.117
2025-02-01,1,Self-expression,0.012
2025-02-01,1,Technical help,0.159
2025-02-01,1,Writing,0.395
2025-03-01,0,Multimedia,0.059
2025-03-01,0,Other/Unknown,0.053
2025-03-01,0,Practical Guidance,0.296
2025-03-01,0,Seeking information,0.215
2025-03-01,0,Self-expression,0.114
2025-03-01,0,Technical help,0.045
2025-03-01,0,Writing,0.218
2025-03-01,1,Multimedia,0.045
2025-03-01,1,Other/Unknown,0.029
2025-03-01,1,Practical Guidance,0.253
2025-03-01,1,Seeking information,0.116
2025-03-01,1,Self-expression,0.015
2025-03-01,1,Technical help,0.147
2025-03-01,1,Writing,0.396
2025-04-01,0,Multimedia,0.100
2025-04-01,0,Other/Unknown,0.058
2025-04-01,0,Practical Guidance,0.288
2025-04-01,0,Seeking information,0.190
2025-04-01,0,Self-expression,0.132
2025-04-01,0,Technical help,0.036
2025-04-01,0,Writing,0.196
2025-04-01,1,Multimedia,0.081
2025-04-01,1,Other/Unknown,0.032
2025-04-01,1,Practical Guidance,0.247
2025-04-01,1,Seeking information,0.109
2025-04-01,1,Self-expression,0.018
2025-04-01,1,Technical help,0.139
2025-04-01,1,Writing,0.373
2025-05-01,0,Multimedia,0.067
2025-05-01,0,Other/Unknown,0.057
2025-05-01,0,Practical Guidance,0.309
2025-05-01,0,Seeking information,0.209
2025-05-01,0,Self-expression,0.114
2025-05-01,0,Technical help,0.036
2025-05-01,0,Writing,0.208
2025-05-01,1,Multimedia,0.075
2025-05-01,1,Other/Unknown,0.032
2025-05-01,1,Practical Guidance,0.250
2025-05-01,1,Seeking information,0.117
2025-05-01,1,Self-expression,0.014
2025-05-01,1,Technical help,0.132
2025-05-01,1,Writing,0.380
2025-06-01,0,Multimedia,0.069
2025-06-01,0,Other/Unknown,0.057
2025-06-01,0,Practical Guidance,0.297
2025-06-01,0,Seeking information,0.217
2025-06-01,0,Self-expression,0.129
2025-06-01,0,Technical help,0.031
2025-06-01,0,Writing,0.199
2025-06-01,1,Multimedia,0.073
2025-06-01,1,Other/Unknown,0.036
2025-06-01,1,Practical Guidance,0.250
2025-06-01,1,Seeking information,0.119
2025-06-01,1,Self-expression,0.017
2025-06-01,1,Technical help,0.124
2025-06-01,1,Writing,0.382
2025-07-01,0,Multimedia,0.065
2025-07-01,0,Other/Unknown,0.062
2025-07-01,0,Practical Guidance,0.291
2025-07-01,0,Seeking information,0.223
2025-07-01,0,Self-expression,0.139
2025-07-01,0,Technical help,0.029
2025-07-01,0,Writing,0.192
2025-07-01,1,Multimedia,0.074
2025-07-01,1,Other/Unknown,0.036
2025-07-01,1,Practical Guidance,0.240
2025-07-01,1,Seeking information,0.122
2025-07-01,1,Self-expression,0.021
2025-07-01,1,Technical help,0.126
2025-07-01,1,Writing,0.381
2025-08-01,0,Multimedia,0.055
2025-08-01,0,Other/Unknown,0.058
2025-08-01,0,Practical Guidance,0.305
2025-08-01,0,Seeking information,0.221
2025-08-01,0,Self-expression,0.129
2025-08-01,0,Technical help,0.030
2025-08-01,0,Writing,0.203
2025-08-01,1,Multimedia,0.084
2025-08-01,1,Other/Unknown,0.035
2025-08-01,1,Practical Guidance,0.244
2025-08-01,1,Seeking information,0.116
2025-08-01,1,Self-expression,0.020
2025-08-01,1,Technical help,0.118
2025-08-01,1,Writing,0.383
2025-09-01,0,Multimedia,0.056
2025-09-01,0,Other/Unknown,0.063
2025-09-01,0,Practical Guidance,0.313
2025-09-01,0,Seeking information,0.222
2025-09-01,0,Self-expression,0.109
2025-09-01,0,Technical help,0.033
2025-09-01,0,Writing,0.204
2025-09-01,1,Multimedia,0.080
2025-09-01,1,Other/Unknown,0.042
2025-09-01,1,Practical Guidance,0.242
2025-09-01,1,Seeking information,0.120
2025-09-01,1,Self-expression,0.015
2025-09-01,1,Technical help,0.111
2025-09-01,1,Writing,0.390
2025-10-01,0,Multimedia,0.057
2025-10-01,0,Other/Unknown,0.056
2025-10-01,0,Practical Guidance,0.319
2025-10-01,0,Seeking information,0.221
2025-10-01,0,Self-expression,0.111
2025-10-01,0,Technical help,0.033
2025-10-01,0,Writing,0.202
2025-10-01,1,Multimedia,0.092
2025-10-01,1,Other/Unknown,0.037
2025-10-01,1,Practical Guidance,0.238
2025-10-01,1,Seeking information,0.114
2025-10-01,1,Self-expression,0.016
2025-10-01,1,Technical help,0.110
2025-10-01,1,Writing,0.393
2025-11-01,0,Multimedia,0.047
2025-11-01,0,Other/Unknown,0.058
2025-11-01,0,Practical Guidance,0.324
2025-11-01,0,Seeking information,0.216
2025-11-01,0,Self-expression,0.122
2025-11-01,0,Technical help,0.034
2025-11-01,0,Writing,0.200
2025-11-01,1,Multimedia,0.076
2025-11-01,1,Other/Unknown,0.039
2025-11-01,1,Practical Guidance,0.251
2025-11-01,1,Seeking information,0.116
2025-11-01,1,Self-expression,0.018
2025-11-01,1,Technical help,0.108
2025-11-01,1,Writing,0.392
2025-12-01,0,Multimedia,0.039
2025-12-01,0,Other/Unknown,0.059
2025-12-01,0,Practical Guidance,0.331
2025-12-01,0,Seeking information,0.214
2025-12-01,0,Self-expression,0.129
2025-12-01,0,Technical help,0.029
2025-12-01,0,Writing,0.200
2025-12-01,1,Multimedia,0.057
2025-12-01,1,Other/Unknown,0.040
2025-12-01,1,Practical Guidance,0.255
2025-12-01,1,Seeking information,0.115
2025-12-01,1,Self-expression,0.020
2025-12-01,1,Technical help,0.105
2025-12-01,1,Writing,0.407
