year,state_code,state_name,topic,share_of_messages
2025,AK,Alaska,Multimedia,0.031
2025,AK,Alaska,Other/Unknown,0.052
2025,AK,Alaska,Practical Guidance,0.258
2025,AK,Alaska,Seeking information,0.205
2025,AK,Alaska,Self-expression,0.061
2025,AK,Alaska,Technical help,0.069
2025,AK,Alaska,Writing,0.324
2025,AL,Alabama,Multimedia,0.073
2025,AL,Alabama,Other/Unknown,0.040
2025,AL,Alabama,Practical Guidance,0.300
2025,AL,Alabama,Seeking information,0.187
2025,AL,Alabama,Self-expression,0.091
2025,AL,Alabama,Technical help,0.074
2025,AL,Alabama,Writing,0.235
2025,AR,Arkansas,Multimedia,0.065
2025,AR,Arkansas,Other/Unknown,0.043
2025,AR,Arkansas,Practical Guidance,0.330
2025,AR,Arkansas,Seeking information,0.188
2025,AR,Arkansas,Self-expression,0.069
2025,AR,Arkansas,Technical help,0.063
2025,AR,Arkansas,Writing,0.242
2025,AZ,Arizona,Multimedia,0.050
2025,AZ,Arizona,Other/Unknown,0.041
2025,AZ,Arizona,Practical Guidance,0.302
2025,AZ,Arizona,Seeking information,0.193
2025,AZ,Arizona,Self-expression,0.082
2025,AZ,Arizona,Technical help,0.068
2025,AZ,Arizona,Writing,0.265
2025,CA,California,Multimedia,0.047
2025,CA,California,Other/Unknown,0.039
2025,CA,California,Practical Guidance,0.284
2025,CA,California,Seeking information,0.190
2025,CA,California,Self-expression,0.072
2025,CA,California,Technical help,0.073
2025,CA,California,Writing,0.295
2025,CO,Colorado,Multimedia,0.053
2025,CO,Colorado,Other/Unknown,0.035
2025,CO,Colorado,Practical Guidance,0.286
2025,CO,Colorado,Seeking information,0.200
2025,CO,Colorado,Self-expression,0.084
2025,CO,Colorado,Technical help,0.071
2025,CO,Colorado,Writing,0.271
2025,CT,Connecticut,Multimedia,0.061
2025,CT,Connecticut,Other/Unknown,0.048
2025,CT,Connecticut,Practical Guidance,0.279
2025,CT,Connecticut,Seeking information,0.197
2025,CT,Connecticut,Self-expression,0.085
2025,CT,Connecticut,Technical help,0.062
2025,CT,Connecticut,Writing,0.269
2025,DC,District of Columbia,Multimedia,0.054
2025,DC,District of Columbia,Other/Unknown,0.052
2025,DC,District of Columbia,Practical Guidance,0.267
2025,DC,District of Columbia,Seeking information,0.169
2025,DC,District of Columbia,Self-expression,0.086
2025,DC,District of Columbia,Technical help,0.054
2025,DC,District of Columbia,Writing,0.317
2025,DE,Delaware,Multimedia,0.045
2025,DE,Delaware,Other/Unknown,0.061
2025,DE,Delaware,Practical Guidance,0.334
2025,DE,Delaware,Seeking information,0.213
2025,DE,Delaware,Self-expression,0.069
2025,DE,Delaware,Technical help,0.036
2025,DE,Delaware,Writing,0.243
2025,FL,Florida,Multimedia,0.054
2025,FL,Florida,Other/Unknown,0.041
2025,FL,Florida,Practical Guidance,0.275
2025,FL,Florida,Seeking information,0.253
2025,FL,Florida,Self-expression,0.069
2025,FL,Florida,Technical help,0.060
2025,FL,Florida,Writing,0.249
2025,GA,Georgia,Multimedia,0.060
2025,GA,Georgia,Other/Unknown,0.040
2025,GA,Georgia,Practical Guidance,0.286
2025,GA,Georgia,Seeking information,0.192
2025,GA,Georgia,Self-expression,0.080
2025,GA,Georgia,Technical help,0.070
2025,GA,Georgia,Writing,0.272
2025,HI,Hawaii,Multimedia,0.047
2025,HI,Hawaii,Other/Unknown,0.030
2025,HI,Hawaii,Practical Guidance,0.272
2025,HI,Hawaii,Seeking information,0.231
2025,HI,Hawaii,Self-expression,0.057
2025,HI,Hawaii,Technical help,0.035
2025,HI,Hawaii,Writing,0.328
