month,iwa_cleaned,share_of_messages
2024-07-01,4.A.1.a.1.I01,0.002
2024-07-01,4.A.1.a.1.I02,0.002
2024-07-01,4.A.1.a.1.I03,0.000
2024-07-01,4.A.1.a.1.I04,0.032
2024-07-01,4.A.1.a.1.I05,0.001
2024-07-01,4.A.1.a.1.I06,0.003
2024-07-01,4.A.1.a.1.I07,0.016
2024-07-01,4.A.1.a.1.I08,0.000
2024-07-01,4.A.1.a.1.I09,0.004
2024-07-01,4.A.1.a.1.I12,0.000
2024-07-01,4.A.1.a.1.I13,0.000
2024-07-01,4.A.1.a.1.I14,0.001
2024-07-01,4.A.1.a.1.I15,0.001
2024-07-01,4.A.1.a.1.I16,0.002
2024-07-01,4.A.1.a.1.I17,0.000
2024-07-01,4.A.1.a.1.I18,0.008
2024-07-01,4.A.1.a.1.I19,0.005
2024-07-01,4.A.1.a.1.I20,0.006
2024-07-01,4.A.1.a.1.I21,0.000
2024-07-01,4.A.1.a.1.I23,0.001
2024-07-01,4.A.1.a.2.I02,0.000
2024-07-01,4.A.1.a.2.I05,0.001
2024-07-01,4.A.1.a.2.I06,0.000
2024-07-01,4.A.1.a.2.I08,0.000
2024-07-01,4.A.1.a.2.I10,0.000
2024-07-01,4.A.1.b.1.I02,0.001
2024-07-01,4.A.1.b.2.I01,0.000
2024-07-01,4.A.1.b.2.I03,0.000
2024-07-01,4.A.1.b.2.I04,0.001
2024-07-01,4.A.1.b.2.I08,0.001
2024-07-01,4.A.1.b.2.I12,0.000
2024-07-01,4.A.1.b.3.I01,0.001
2024-07-01,4.A.1.b.3.I02,0.001
2024-07-01,4.A.1.b.3.I03,0.011
2024-07-01,4.A.2.a.1.I01,0.000
2024-07-01,4.A.2.a.1.I02,0.004
2024-07-01,4.A.2.a.1.I03,0.001
2024-07-01,4.A.2.a.1.I04,0.002
2024-07-01,4.A.2.a.1.I05,0.000
2024-07-01,4.A.2.a.1.I06,0.002
2024-07-01,4.A.2.a.1.I07,0.008
2024-07-01,4.A.2.a.1.I08,0.002
2024-07-01,4.A.2.a.1.I10,0.000
2024-07-01,4.A.2.a.2.I01,0.001
2024-07-01,4.A.2.a.2.I02,0.000
2024-07-01,4.A.2.a.2.I03,0.002
2024-07-01,4.A.2.a.2.I04,0.001
2024-07-01,4.A.2.a.3.I01,0.001
2024-07-01,4.A.2.a.3.I03,0.000
2024-07-01,4.A.2.a.4.I01,0.000
2024-07-01,4.A.2.a.4.I02,0.005
2024-07-01,4.A.2.a.4.I03,0.001
2024-07-01,4.A.2.a.4.I04,0.013
2024-07-01,4.A.2.a.4.I05,0.001
2024-07-01,4.A.2.a.4.I06,0.002
2024-07-01,4.A.2.a.4.I07,0.001
2024-07-01,4.A.2.a.4.I08,0.003
2024-07-01,4.A.2.a.4.I09,0.001
2024-07-01,4.A.2.a.4.I10,0.001
2024-07-01,4.A.2.a.4.I11,0.005
2024-07-01,4.A.2.a.4.I12,0.001
2024-07-01,4.A.2.b.1.I01,0.002
2024-07-01,4.A.2.b.1.I02,0.001
2024-07-01,4.A.2.b.1.I03,0.000
2024-07-01,4.A.2.b.1.I04,0.001
2024-07-01,4.A.2.b.1.I06,0.001
