Job Zone,Code,Occupation,Data-level,url,Median Wage,Projected Growth,"Employment Change, 2024-2034",Projected Job Openings,Education,Top Education Level,Top Education Rate,Sample Job Titles,Job Description,exposure_filter,necessity_filter,elasticity_filter,ai_category,role_resilience_score,final_ranking,key_drivers,altpath url,altpath simple title,Emerging Job Titles
5,29-1127.00,Speech-Language Pathologists,Y,https://www.onetonline.org/link/summary/29-1127.00,"$45.87 hourly, $95,410 annual",Much faster than average (7% or higher),15.0,"13,300",89% Master’s degree | 11% Post-master’s certificate,Master's degree,89%,"Bilingual Speech-Language Pathologist, Communication Specialist, Educational Speech-Language Clinician, Speech and Language Clinician, Speech and Language Specialist, Speech Pathologist, Speech Therapist, Speech-Language Pathologist (SLP), Speech/Language Therapist, Teacher of the Speech and Hearing Handicapped","Assess and treat persons with speech, language, voice, and fluency disorders. May select alternative communication systems and teach their use. May perform research related to speech and language problems.",3.0,4.19,4,Less Immediate Change,3.6,0.721,"Speech-language pathologists work closely with patients in highly personal, hands-on ways—building trust, reading emotional cues, and adapting therapy techniques in real time based on each individual's unique needs. This deep human connection and the physical nature of the work, such as guiding mouth movements or modeling sounds, make it very difficult for AI to replicate. With demand growing much faster than average due to aging populations and greater awareness of communication disorders, this career remains well-protected and continues to offer strong job prospects.",https://altpath.org/discover/jd5as39vh1vylahla20p6gxl,Speech-Language Pathologist,
5,29-1123.00,Physical Therapists,Y,https://www.onetonline.org/link/summary/29-1123.00,"$48.57 hourly, $101,020 annual",Much faster than average (7% or higher),10.9,"13,200",47% Doctoral degree | 38% Master’s degree,Doctoral degree,47%,"Chief Physical Therapist, Home Care Physical Therapist, Outpatient Physical Therapist, Pediatric Physical Therapist, Per Diem Physical Therapist, Physical Therapist (PT), Physical Therapist, Director of Rehabilitation, Registered Physical Therapist (RPT), Rehabilitation Services Director, Staff Physical Therapist (Staff PT)","Assess, plan, organize, and participate in rehabilitative programs that improve mobility, relieve pain, increase strength, and improve or correct disabling conditions resulting from disease or injury.",3.0,4.19,4,Less Immediate Change,3.57,0.715,"Physical therapists work directly with patients using their hands to guide movement, assess pain responses, and adjust treatments in real time based on how each person's body reacts. This hands-on, physical nature of the work—combined with the need to build trust and motivate patients through recovery—makes it very difficult for AI to replicate. With an aging population and growing demand for rehabilitation services, job growth is projected to be much faster than average, keeping this career on a strong path forward.",https://altpath.org/discover/dygwz9l5xnaazoxkrekfu3tr,Physical Therapist,
5,29-1229.04,Physical Medicine and Rehabilitation Physicians,Y,https://www.onetonline.org/link/summary/29-1229.04,"$115.00+ hourly, $239,200+ annual",Average (3% to 4%),,"9,600",55% Doctoral degree | 43% Post-doctoral training,Doctoral degree,55%,"MD (Medical Doctor), Medical Director Acute Rehabilitation Unit Physiatrist, Pain Management Physician, Pediatric Physiatrist, Physiatrist, Physical Medicine and Rehabilitation Physician (PM and R Physician), Physician, Rehabilitation Physician","Diagnose and treat disorders requiring physiotherapy to provide physical, mental, and occupational rehabilitation.",2.8,4.32,4,Less Immediate Change,3.51,0.703,"Physical medicine and rehabilitation physicians work directly with patients who have complex, often life-changing injuries or conditions, requiring hands-on examinations, personalized treatment plans, and deep emotional support throughout recovery. Each patient's needs are unique, and these doctors must use clinical judgment built on years of training to adapt care in real time. The combination of physical interaction, empathetic communication, and high-stakes medical decision-making makes this role difficult for AI to take over in the near future.",https://altpath.org/discover/y0qtj1rxyxiw2a5qymysl2xk,Rehabilitation Physician,
4,29-1125.00,Recreational Therapists,Y,https://www.onetonline.org/link/summary/29-1125.00,"$28.98 hourly, $60,280 annual",Average (3% to 4%),3.3,"1,300",92% Bachelor’s degree | 5% Post-baccalaureate certificate,Bachelor's degree,92%,"Activities Director, Activity Assistant, Activity Coordinator, Activity Director, Certified Therapeutic Recreation Specialist (CTRS), General Activities Therapist, Recreation Therapist, Recreational Therapist, Rehabilitation Therapist, Therapeutic Recreation Specialist","Plan, direct, or coordinate medically-approved recreation programs for patients in hospitals, nursing homes, or other institutions. Activities include sports, trips, dramatics, social activities, and arts and crafts. May assess a patient condition and recommend appropriate recreational activity.",2.8,4.23,4,Less Immediate Change,3.47,0.695,"Recreational therapists work directly with patients in physical, hands-on settings—leading activities like sports, arts, and social outings—while building personal relationships that are central to the healing process. Each patient's emotional and physical needs are unique, requiring real-time empathy, creative judgment, and adaptability that AI struggles to replicate. Because this role depends so heavily on human connection, physical presence, and reading subtle cues in a patient's mood and abilities, it remains difficult to automate in the near term.",https://altpath.org/discover/utlz6uuivhlnych91mfyt6lq,Recreational Therapist,
5,29-1141.02,Advanced Practice Psychiatric Nurses,Y,https://www.onetonline.org/link/summary/29-1141.02,"$45.00 hourly, $93,600 annual",Faster than average (5% to 6%),,"189,100",87% Master’s degree | 9% Doctoral degree,Master's degree,87%,"Administrative Director, Behavioral Health Services, Adult Psychiatric Mental Health Nurse Practitioner, Advanced Practice Nurse Psychotherapist (APN Psychotherapist), Advanced Practice Psychiatric Nurse, Associate Chief Nurse, Associate Director of Nursing, Coordinator of the Psychiatric Liaison Service, Deputy Director of Clinical Specialty Services, Psychiatric Clinical Nurse Specialist, Psychiatric Mental Health Nurse (PMH Nurse)",Provide advanced nursing care for patients with psychiatric disorders. May provide psychotherapy under the direction of a psychiatrist.,3.2,4.11,4,Grow with AI,3.4,0.681,"Advanced practice psychiatric nurses rely heavily on building trust, reading emotions, and forming deep therapeutic relationships with patients—skills that AI cannot replicate. AI actually helps these nurses by streamlining documentation, flagging medication interactions, and supporting diagnostic assessments, which frees them to spend more time on direct patient care. With growing demand for mental health services and a nationwide shortage of psychiatric providers, AI tools are expanding what these nurses can accomplish, making the profession both more productive and more in demand.",https://altpath.org/discover/fccfd6k30n3ttcr9akzhbiew,Psychiatric Nurse,
5,29-1021.00,"Dentists, General",Y,https://www.onetonline.org/link/summary/29-1021.00,"$83.07 hourly, $172,790 annual",Average (3% to 4%),4.1,"3,900","81% Doctoral degree | 7% Some college, no degree",Doctoral degree,81%,"Associate Dentist, Dental Surgery Doctor (DDS), Dentist, Dentist/Owner, Doctor of Dental Medicine (DMD), Doctor of Dental Surgery (DDS), Family Dentist, General Dentist, General Dentist/Owner, Pediatric Dentist","Examine, diagnose, and treat diseases, injuries, and malformations of teeth and gums. May treat diseases of nerve, pulp, and other dental tissues affecting oral hygiene and retention of teeth. May fit dental appliances or provide preventive care.",3.4,4.28,4,Grow with AI,3.39,0.679,"Dentistry requires hands-on physical skills—drilling, filling, extracting, and fitting appliances inside a patient's mouth—that robots cannot easily replicate. Building patient trust and managing anxiety also depend on strong interpersonal abilities. AI actually helps dentists become more productive by improving diagnostic imaging, catching cavities or gum disease earlier on X-rays, and streamlining treatment planning. This means dentists can deliver better care more efficiently, which could expand access and increase demand for their services over time.",https://altpath.org/discover/tu7rquq8wka938nvrzvhzhth,Dentist,
5,29-1291.00,Acupuncturists,Y,https://www.onetonline.org/link/summary/29-1291.00,"$37.57 hourly, $78,140 annual",Much faster than average (7% or higher),6.8,900,68% Master’s degree | 14% Doctoral degree,Master's degree,68%,"Acupuncture Doctor, Acupuncture Physician, Acupuncture Provider, Acupuncturist, Chinese Medical Doctor (Chinese MD), Chinese Medicine Doctor, Herbalist, Licensed Acupuncturist (LAC), Oriental Medicine Provider, Traditional Chinese Medicine Doctor","Diagnose, treat, and prevent disorders by stimulating specific acupuncture points within the body using acupuncture needles. May also use cups, nutritional supplements, therapeutic massage, acupressure, and other alternative health therapies.",3.2,4.07,4,Grow with AI,3.35,0.671,"Acupuncturists rely on hands-on physical skills, personalized patient relationships, and holistic judgment that AI cannot replicate—inserting needles, reading subtle body responses, and building trust with patients are deeply human tasks. AI can actually help these practitioners by improving diagnostic tools, streamlining patient assessments, and personalizing treatment plans based on data, which expands their ability to serve more people effectively. With growing public interest in alternative health therapies, demand for acupuncturists is projected to grow much faster than average, and AI tools will only enhance their practice.",https://altpath.org/discover/p4tcovyot1mehwun08mq0swd,Acupuncturist,
5,29-1213.00,Dermatologists,Y,https://www.onetonline.org/link/summary/29-1213.00,"$115.00+ hourly, $239,200+ annual",Faster than average (5% to 6%),6.4,400,56% Doctoral degree | 31% Post-doctoral training,Doctoral degree,56%,"Board Certified Dermatologist, Dermatologist MD (Dermatologist Medical Doctor), Dermatologist Physician, Dermatopathologist, Doctor, MD (Medical Doctor), Mohs Micrographic Surgeon, Mohs Surgeon, Pediatric Dermatologist, Practicing Dermatologist","Diagnose and treat diseases relating to the skin, hair, and nails. May perform both medical and dermatological surgery functions.",3.0,4.02,4,Less Immediate Change,3.35,0.671,"Dermatologists are well-protected from automation because their work requires hands-on physical examination of patients, performing surgical procedures, and building trust through direct doctor-patient relationships. Diagnosing skin conditions often depends on subtle visual and tactile cues combined with a patient's full medical history, making it difficult for AI to replace the in-person judgment involved. With an aging population and growing awareness of skin health, demand for dermatologists continues to grow faster than average.",https://altpath.org/discover/xcjk6u4f9lnzdshhrzfpnuha,Dermatologist,
5,29-1171.00,Nurse Practitioners,Y,https://www.onetonline.org/link/summary/29-1171.00,"$62.12 hourly, $129,210 annual",Much faster than average (7% or higher),40.1,"29,500",65% Master’s degree | 26% Doctoral degree,Master's degree,65%,"Acute Care Nurse Practitioner, Adult Nurse Practitioner, Advanced Practice Registered Nurse (APRN), Family Nurse Practitioner, Family Practice Certified Advanced Registered Nurse Practitioner, Gastroenterology Nurse Practitioner, Nurse Practitioner, Nurse Practitioner, Adult, Pediatric Nurse Practitioner, Women's Health Care Nurse Practitioner","Diagnose and treat acute, episodic, or chronic illness, independently or as part of a healthcare team. May focus on health promotion and disease prevention. May order, perform, or interpret diagnostic tests such as lab work and x rays. May prescribe medication. Must be registered nurses who have specialized graduate education.",3.4,3.58,4,Grow with AI,3.35,0.67,"Nurse practitioners are well-positioned to grow alongside AI because technology can handle time-consuming tasks like analyzing lab results, flagging drug interactions, and suggesting diagnoses—freeing NPs to spend more time with patients. The hands-on, relationship-driven nature of the role, including physical exams, patient education, and complex clinical judgment, keeps human practitioners essential. With healthcare demand surging due to an aging population and provider shortages, AI tools will help nurse practitioners see more patients and deliver better care rather than replace them.",https://altpath.org/discover/yqmji2nvyddwso2qs4nfcfph,Nurse Practitioner,
5,19-3033.00,Clinical and Counseling Psychologists,Y,https://www.onetonline.org/link/summary/19-3033.00,"$46.07 hourly, $95,830 annual",Much faster than average (7% or higher),11.2,"4,800",48% Post-doctoral training | 44% Doctoral degree,Post-doctoral training,48%,"Case Manager, Clinical Psychologist, Counseling Psychologist, Counselor, Licensed Clinical Psychologist, Licensed Psychologist, LPC (Licensed Professional Counselor), Psychologist, Psychotherapist, Therapist","Assess, diagnose, and treat mental and emotional disorders of individuals through observation, interview, and psychological tests. Help individuals with distress or maladjustment understand their problems through their knowledge of case history, interviews with patients, and theory. Provide individual or group counseling services to assist individuals in achieving more effective personal, social, educational, and vocational development and adjustment. May design behavior modification programs and consult with medical personnel regarding the best treatment for patients.",3.2,3.84,4,Grow with AI,3.35,0.669,"Mental health demand already outstrips the supply of therapists, so when AI handles routine screening, note-taking, and progress tracking, each psychologist can serve more people—and that efficiency actually draws in clients who previously couldn't access care. Trust and genuine human connection sit at the heart of therapy; people need to feel truly heard and held accountable by someone who is personally changed by the therapeutic relationship. Strong demand growth means AI tools will expand the profession rather than shrink it, freeing clinicians to focus on the deep relational work only humans can provide.",https://altpath.org/discover/ud7ddnjgwz86drw9vzu58e3q,Psychologist,
